assessment_id,case_id,status,discrepancy_amount,potentially_recoverable_amount,confidence,root_cause,evidence_complete,evidence_missing,contractual_basis,tax_review_status,deadline_at,deadline_open,recommended_action,assessed_at
RCA-0001,CASE-0001,ACTION_READY,13.78,13.78,0.90,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,TRUE,,FR-FEE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0002,CASE-0002,ACTION_READY,1.18,1.18,0.90,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,TRUE,,FR-FEE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0003,CASE-0003,ACTION_READY,1.44,1.44,0.90,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,TRUE,,FR-FEE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0004,CASE-0004,ACTION_READY,1945.43,1945.43,0.90,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,TRUE,,FR-SETTLE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0005,CASE-0005,ACTION_READY,8.83,8.83,0.90,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,TRUE,,FR-SETTLE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0006,CASE-0006,ACTION_READY,3.57,3.57,0.90,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,TRUE,,FR-SETTLE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0007,CASE-0007,ACTION_READY,1541.86,1541.86,0.90,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,TRUE,,FR-SETTLE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0008,CASE-0008,ACTION_READY,5.17,5.17,0.90,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,TRUE,,FR-FEE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0009,CASE-0009,ACTION_READY,294.24,294.24,0.90,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,TRUE,,FR-SETTLE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
RCA-0010,CASE-0010,ACTION_READY,2.28,2.28,0.90,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,TRUE,,FR-FEE-CALC-001,NOT_APPLICABLE,2025-05-20T00:00:00Z,TRUE,DRAFT_DISPUTE,2025-04-05T00:00:00Z
