anomaly_id,recon_result_id,order_id,payment_id,category,detection_rule,detected_amount,variance_class,severity,explanation,candidate_root_causes,detected_at
anm-00001,,ORD-1,PAY-0001,FEE_DISCREPANCY,FR-FEE-EXCESS-001,13.78,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00002,,ORD-4,PAY-0004,FEE_DISCREPANCY,FR-FEE-EXCESS-001,1.18,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00003,,ORD-9,PAY-0009,FEE_DISCREPANCY,FR-FEE-EXCESS-001,1.44,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00004,,ORD-12,PAY-0012,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,1945.43,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00005,,ORD-16,PAY-0016,REFUND_ECONOMICS,FR-REFUND-ECON-001,8.83,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00006,,ORD-17,PAY-0017,REFUND_ECONOMICS,FR-REFUND-ECON-001,3.57,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00007,,ORD-25,PAY-0025,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,1541.86,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00008,,ORD-35,PAY-0035,FEE_DISCREPANCY,FR-FEE-EXCESS-001,5.17,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00009,,ORD-36,PAY-0036,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,294.24,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00010,,ORD-41,PAY-0041,FEE_DISCREPANCY,FR-FEE-EXCESS-001,2.28,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00011,,ORD-48,PAY-0048,REFUND_ECONOMICS,FR-REFUND-ECON-001,9.94,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00012,,ORD-50,PAY-0050,FEE_DISCREPANCY,FR-FEE-EXCESS-001,3.93,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00013,,ORD-51,PAY-0051,FEE_DISCREPANCY,FR-FEE-EXCESS-001,5.38,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00014,,ORD-54,PAY-0054,REFUND_ECONOMICS,FR-REFUND-ECON-001,5.34,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00015,,ORD-56,PAY-0056,REFUND_ECONOMICS,FR-REFUND-ECON-001,17.8,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
