action_id,case_id,tool_id,action_type,actor,status,risk_level,input_payload,result_payload,external_ref,idempotency_key,approval_id,amount,executed_at
ACT-0001,CASE-0091,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0091"", ""evidence_ids"": [""EVID-00310"", ""EVID-00311"", ""EVID-00312""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-603 \u2014 \u20b95755.61\n\nOrder ORD-603 (payment PAY-0603) settled \u20b90 against contractual expectation \u20b95755.61 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b95755.61."", ""amount"": 5755.61}","{""draft_id"": ""DRF-CASE-0091"", ""draft"": ""Subject: Settlement discrepancy on ORD-603 \u2014 \u20b95755.61\n\nOrder ORD-603 (payment PAY-0603) settled \u20b90 against contractual expectation \u20b95755.61 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b95755.61.""}",,CASE-0091_DRAFT,,5755.61,2026-09-05T07:12:56Z
ACT-0002,CASE-0029,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0029"", ""evidence_ids"": [""EVID-00099"", ""EVID-00100"", ""EVID-00101""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-138 \u2014 \u20b92092.88\n\nOrder ORD-138 (payment PAY-0138) settled \u20b90 against contractual expectation \u20b92092.88 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92092.88."", ""amount"": 2092.88}","{""draft_id"": ""DRF-CASE-0029"", ""draft"": ""Subject: Settlement discrepancy on ORD-138 \u2014 \u20b92092.88\n\nOrder ORD-138 (payment PAY-0138) settled \u20b90 against contractual expectation \u20b92092.88 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92092.88.""}",,CASE-0029_DRAFT,,2092.88,2026-09-05T07:12:56Z
ACT-0003,CASE-0029,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0029"", ""evidence_ids"": [""EVID-00099"", ""EVID-00100"", ""EVID-00101""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-138 \u2014 \u20b92092.88\n\nOrder ORD-138 (payment PAY-0138) settled \u20b90 against contractual expectation \u20b92092.88 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92092.88."", ""amount"": 2092.88}","{""external_reference"": ""DIS-CASE-0029"", ""dispute_id"": ""DIS-CASE-0029"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:56Z"", ""simulated"": true}",DIS-CASE-0029,CASE-0029_CREATE,APR-0001,2092.88,2026-09-05T07:12:56Z
ACT-0004,CASE-0061,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0061"", ""evidence_ids"": [""EVID-00208"", ""EVID-00209"", ""EVID-00210""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-346 \u2014 \u20b92058.75\n\nOrder ORD-346 (payment PAY-0346) settled \u20b90 against contractual expectation \u20b92058.75 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92058.75."", ""amount"": 2058.75}","{""draft_id"": ""DRF-CASE-0061"", ""draft"": ""Subject: Settlement discrepancy on ORD-346 \u2014 \u20b92058.75\n\nOrder ORD-346 (payment PAY-0346) settled \u20b90 against contractual expectation \u20b92058.75 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92058.75.""}",,CASE-0061_DRAFT,,2058.75,2026-09-05T07:12:56Z
ACT-0005,CASE-0061,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0061"", ""evidence_ids"": [""EVID-00208"", ""EVID-00209"", ""EVID-00210""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-346 \u2014 \u20b92058.75\n\nOrder ORD-346 (payment PAY-0346) settled \u20b90 against contractual expectation \u20b92058.75 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92058.75."", ""amount"": 2058.75}","{""external_reference"": ""DIS-CASE-0061"", ""dispute_id"": ""DIS-CASE-0061"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:57Z"", ""simulated"": true}",DIS-CASE-0061,CASE-0061_CREATE,APR-0002,2058.75,2026-09-05T07:12:57Z
ACT-0006,CASE-0117,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0117"", ""evidence_ids"": [""EVID-00401"", ""EVID-00402"", ""EVID-00403""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-773 \u2014 \u20b93632.03\n\nOrder ORD-773 (payment PAY-0773) settled \u20b90 against contractual expectation \u20b93632.03 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b93632.03."", ""amount"": 1988.32}","{""draft_id"": ""DRF-CASE-0117"", ""draft"": ""Subject: Settlement discrepancy on ORD-773 \u2014 \u20b93632.03\n\nOrder ORD-773 (payment PAY-0773) settled \u20b90 against contractual expectation \u20b93632.03 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b93632.03.""}",,CASE-0117_DRAFT,,1988.32,2026-09-05T07:12:57Z
ACT-0007,CASE-0117,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0117"", ""evidence_ids"": [""EVID-00401"", ""EVID-00402"", ""EVID-00403""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-773 \u2014 \u20b93632.03\n\nOrder ORD-773 (payment PAY-0773) settled \u20b90 against contractual expectation \u20b93632.03 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b93632.03."", ""amount"": 1988.32}","{""external_reference"": ""DIS-CASE-0117"", ""dispute_id"": ""DIS-CASE-0117"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:57Z"", ""simulated"": true}",DIS-CASE-0117,CASE-0117_CREATE,APR-0003,1988.32,2026-09-05T07:12:57Z
ACT-0008,CASE-0143,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0143"", ""evidence_ids"": [""EVID-00490"", ""EVID-00491"", ""EVID-00492""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-952 \u2014 \u20b93949.51\n\nOrder ORD-952 (payment PAY-0952) settled \u20b90 against contractual expectation \u20b93949.51 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b93949.51."", ""amount"": 1980.46}","{""draft_id"": ""DRF-CASE-0143"", ""draft"": ""Subject: Settlement discrepancy on ORD-952 \u2014 \u20b93949.51\n\nOrder ORD-952 (payment PAY-0952) settled \u20b90 against contractual expectation \u20b93949.51 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b93949.51.""}",,CASE-0143_DRAFT,,1980.46,2026-09-05T07:12:57Z
ACT-0009,CASE-0143,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0143"", ""evidence_ids"": [""EVID-00490"", ""EVID-00491"", ""EVID-00492""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-952 \u2014 \u20b93949.51\n\nOrder ORD-952 (payment PAY-0952) settled \u20b90 against contractual expectation \u20b93949.51 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b93949.51."", ""amount"": 1980.46}","{""external_reference"": ""DIS-CASE-0143"", ""dispute_id"": ""DIS-CASE-0143"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:57Z"", ""simulated"": true}",DIS-CASE-0143,CASE-0143_CREATE,APR-0004,1980.46,2026-09-05T07:12:57Z
ACT-0010,CASE-0004,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0004"", ""evidence_ids"": [""EVID-00013"", ""EVID-00014"", ""EVID-00015""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-12 \u2014 \u20b91945.43\n\nOrder ORD-12 (payment PAY-0012) settled \u20b90 against contractual expectation \u20b91945.43 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91945.43."", ""amount"": 1945.43}","{""draft_id"": ""DRF-CASE-0004"", ""draft"": ""Subject: Settlement discrepancy on ORD-12 \u2014 \u20b91945.43\n\nOrder ORD-12 (payment PAY-0012) settled \u20b90 against contractual expectation \u20b91945.43 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91945.43.""}",,CASE-0004_DRAFT,,1945.43,2026-09-05T07:12:58Z
