gt_id,txn_id,order_id,payment_id,has_anomaly,actual_problem,anomaly_type,true_expected_amount,true_actual_amount,true_leakage_amount,true_recoverable,true_recovery_amount,true_root_cause,true_required_evidence,true_best_action,true_deadline,true_should_escalate
GT-0001,TXN-001,ORD-1,PAY-0001,TRUE,fee_excess on #1001,LEAK-FEE-EXCESS,1201.41,1189.73,11.68,TRUE,11.68,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0002,TXN-002,ORD-2,PAY-0002,FALSE,,,1038.65,1038.65,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0003,TXN-003,ORD-3,PAY-0003,FALSE,,,2665.97,2665.97,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0004,TXN-004,ORD-4,PAY-0004,TRUE,fee_excess on #1004,LEAK-FEE-EXCESS,611.29,610.29,1.0,TRUE,1.0,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0005,TXN-005,ORD-5,PAY-0005,FALSE,,,291.94,291.94,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0006,TXN-006,ORD-6,PAY-0006,FALSE,,,1136.1,1136.1,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0007,TXN-007,ORD-7,PAY-0007,FALSE,,,4921.63,4921.63,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0008,TXN-008,ORD-8,PAY-0008,FALSE,,,418.83,418.83,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0009,TXN-009,ORD-9,PAY-0009,TRUE,fee_excess on #1009,LEAK-FEE-EXCESS,645.46,644.24,1.22,TRUE,1.22,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0010,TXN-010,ORD-10,PAY-0010,FALSE,,,671.6,671.6,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0011,TXN-011,ORD-11,PAY-0011,FALSE,,,295.0,295.0,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0012,TXN-012,ORD-12,PAY-0012,TRUE,missing_settlement on #1012,LEAK-MISSING-SETTLEMENT,1945.43,0,1945.43,TRUE,1945.43,payment captured but settlement never issued; funds held at gateway,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0013,TXN-013,ORD-13,PAY-0013,FALSE,,,708.94,708.94,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0014,TXN-014,ORD-14,PAY-0014,FALSE,,,983.73,983.73,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0015,TXN-015,ORD-15,PAY-0015,FALSE,,,507.93,507.93,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0016,TXN-016,ORD-16,PAY-0016,TRUE,refund_economics on #1016,LEAK-REFUND-ECONOMICS,604.35,595.52,8.83,TRUE,8.83,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0017,TXN-017,ORD-17,PAY-0017,TRUE,refund_economics on #1017,LEAK-REFUND-ECONOMICS,209.91,206.34,3.57,TRUE,3.57,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0018,TXN-018,ORD-18,PAY-0018,FALSE,,,376.6,376.6,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0019,TXN-019,ORD-19,PAY-0019,FALSE,,,1877.4,1877.4,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0020,TXN-020,ORD-20,PAY-0020,FALSE,,,890.78,890.78,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0021,TXN-021,ORD-21,PAY-0021,FALSE,,,377.36,377.36,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0022,TXN-022,ORD-22,PAY-0022,FALSE,,,630.84,630.84,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0023,TXN-023,ORD-23,PAY-0023,FALSE,,,2128.56,2128.56,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0024,TXN-024,ORD-24,PAY-0024,FALSE,,,19589.83,19589.83,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0025,TXN-025,ORD-25,PAY-0025,TRUE,missing_settlement on #1025,LEAK-MISSING-SETTLEMENT,1541.86,0,1541.86,TRUE,1541.86,payment captured but settlement never issued; funds held at gateway,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0026,TXN-026,ORD-26,PAY-0026,FALSE,,,595.0,595.0,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0027,TXN-027,ORD-27,PAY-0027,FALSE,,,913.85,913.85,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0028,TXN-028,ORD-28,PAY-0028,FALSE,,,4463.84,4463.84,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0029,TXN-029,ORD-29,PAY-0029,FALSE,,,2617.93,2617.93,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0030,TXN-030,ORD-30,PAY-0030,FALSE,,,576.77,576.77,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0031,TXN-031,ORD-31,PAY-0031,FALSE,,,749.35,749.35,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0032,TXN-032,ORD-32,PAY-0032,FALSE,,,3842.11,3842.11,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0033,TXN-033,ORD-33,PAY-0033,FALSE,,,4449.96,4449.96,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0034,TXN-034,ORD-34,PAY-0034,FALSE,,,1247.75,1247.75,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0035,TXN-035,ORD-35,PAY-0035,TRUE,duplicate_fee on #1035,LEAK-DUPLICATE-FEE,788.18,783.01,5.17,TRUE,5.17,duplicate MDR fee event charged for the same payment,RECON_RESULT|RATE_CARD|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0036,TXN-036,ORD-36,PAY-0036,TRUE,settlement_short on #1036,LEAK-SETTLEMENT-SHORT,4312.97,4018.73,294.24,TRUE,294.24,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0037,TXN-037,ORD-37,PAY-0037,FALSE,,,1389.9,1389.9,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0038,TXN-038,ORD-38,PAY-0038,FALSE,,,2889.78,2889.78,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0039,TXN-039,ORD-39,PAY-0039,FALSE,,,300.81,300.81,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0040,TXN-040,ORD-40,PAY-0040,FALSE,,,382.31,382.31,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0041,TXN-041,ORD-41,PAY-0041,TRUE,fee_excess on #1041,LEAK-FEE-EXCESS,1182.06,1180.13,1.93,TRUE,1.93,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0042,TXN-042,ORD-42,PAY-0042,FALSE,,,284.84,284.84,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0043,TXN-043,ORD-43,PAY-0043,FALSE,,,446.17,446.17,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0044,TXN-044,ORD-44,PAY-0044,FALSE,,,892.18,892.18,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0045,TXN-045,ORD-45,PAY-0045,FALSE,,,972.37,972.37,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0046,TXN-046,ORD-46,PAY-0046,FALSE,,,291.94,291.94,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0047,TXN-047,ORD-47,PAY-0047,FALSE,,,3647.78,3647.78,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0048,TXN-048,ORD-48,PAY-0048,TRUE,refund_economics on #1048,LEAK-REFUND-ECONOMICS,3061.05,3051.11,9.94,TRUE,9.94,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0049,TXN-049,ORD-49,PAY-0049,FALSE,,,763.99,763.99,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0050,TXN-050,ORD-50,PAY-0050,TRUE,duplicate_fee on #1050,LEAK-DUPLICATE-FEE,827.82,823.89,3.93,TRUE,3.93,duplicate MDR fee event charged for the same payment,RECON_RESULT|RATE_CARD|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0051,TXN-051,ORD-51,PAY-0051,TRUE,fee_excess on #1051,LEAK-FEE-EXCESS,347.74,343.18,4.56,TRUE,4.56,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0052,TXN-052,ORD-52,PAY-0052,FALSE,,,783.76,783.76,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0053,TXN-053,ORD-53,PAY-0053,FALSE,,,1328.05,1328.05,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0054,TXN-054,ORD-54,PAY-0054,TRUE,refund_economics on #1054,LEAK-REFUND-ECONOMICS,666.58,661.24,5.34,TRUE,5.34,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0055,TXN-055,ORD-55,PAY-0055,FALSE,,,592.18,592.18,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0056,TXN-056,ORD-56,PAY-0056,TRUE,refund_economics on #1056,LEAK-REFUND-ECONOMICS,1154.16,1136.36,17.8,TRUE,17.8,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0057,TXN-057,ORD-57,PAY-0057,FALSE,,,325.77,325.77,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0058,TXN-058,ORD-58,PAY-0058,FALSE,,,4196.74,4196.74,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0059,TXN-059,ORD-59,PAY-0059,FALSE,,,2018.94,2018.94,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0060,TXN-060,ORD-60,PAY-0060,FALSE,,,342.08,342.08,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0061,TXN-061,ORD-61,PAY-0061,FALSE,,,1584.14,1584.14,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0062,TXN-062,ORD-62,PAY-0062,FALSE,,,15430.3,15430.3,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0063,TXN-063,ORD-63,PAY-0063,FALSE,,,1467.37,1467.37,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0064,TXN-064,ORD-64,PAY-0064,FALSE,,,4860.18,4860.18,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0065,TXN-065,ORD-65,PAY-0065,TRUE,fee_excess on #1065,LEAK-FEE-EXCESS,1574.72,1562.94,11.78,TRUE,11.78,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0066,TXN-066,ORD-66,PAY-0066,FALSE,,,376.83,376.83,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0067,TXN-067,ORD-67,PAY-0067,FALSE,,,3129.19,3129.19,0.0,FALSE,0.0,,,,2025-05-20,FALSE
