audit_id,case_id,actor,event_type,tool_called,tool_parameters,tool_result,decision,previous_state,new_state,amount,evidence_ids,approval_id,correlation_id,prev_hash,entry_hash,created_at
AUD-00001,CASE-0091,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0091""}",{},case loaded,,INVESTIGATING,0,EVID-00310|EVID-00311|EVID-00312,,CORR-CASE-0091,GENESIS,72ed5d049536da2f,2025-04-05T00:00:00Z
AUD-00002,CASE-0091,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-603"", ""payment_id"": ""PAY-0603""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00310|EVID-00311|EVID-00312,,CORR-CASE-0091,72ed5d049536da2f,d1421fb87aae90ba,2025-04-05T00:00:00Z
AUD-00003,CASE-0091,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0091""}","{""variance"": 5755.61, ""unexplained"": ""5755.61"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00310|EVID-00311|EVID-00312,,CORR-CASE-0091,d1421fb87aae90ba,da415eac98bc8aef,2025-04-05T00:00:00Z
AUD-00004,CASE-0091,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00310|EVID-00311|EVID-00312,,CORR-CASE-0091,da415eac98bc8aef,61eef8a14138f308,2025-04-05T00:00:00Z
AUD-00005,CASE-0091,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0091""}",dispute drafted (L1 automatic),,,5755.61,EVID-00310|EVID-00311|EVID-00312,,CORR-CASE-0091,61eef8a14138f308,06beafd377e3e3c6,2025-04-05T00:00:00Z
AUD-00006,CASE-0091,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,5755.61,EVID-00310|EVID-00311|EVID-00312,APR-0001,CORR-CASE-0091,06beafd377e3e3c6,1796e9b41371124a,2025-04-05T00:00:00Z
AUD-00007,CASE-0091,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00310|EVID-00311|EVID-00312,APR-0001,CORR-CASE-0091,1796e9b41371124a,43f8f8913922f06a,2025-04-05T00:00:00Z
AUD-00008,CASE-0091,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0091""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,5755.61,EVID-00310|EVID-00311|EVID-00312,APR-0001,CORR-CASE-0091,43f8f8913922f06a,12be1ee5a1da47f5,2025-04-05T00:00:00Z
AUD-00009,CASE-0091,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""RECOVERY_VERIFIED"", ""recovered"": 5755.61}",verification recorded,,VERIFYING,5755.61,EVID-00310|EVID-00311|EVID-00312,,CORR-CASE-0091,12be1ee5a1da47f5,b5f0253d421fbe8e,2025-04-05T00:00:00Z
AUD-00010,CASE-0029,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0029""}",{},case loaded,,INVESTIGATING,0,EVID-00099|EVID-00100|EVID-00101,,CORR-CASE-0029,GENESIS,637148f8b195cbd7,2025-04-05T00:00:00Z
