eval_run_id,case_id,gt_id,detected,category_correct,amount_delta,root_cause_correct,action_correct,recovered_amount
EVAL-2025-04-05-01,CASE-0001,GT-0001,TRUE,TRUE,2.1,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0002,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0003,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0002,GT-0004,TRUE,TRUE,0.18,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0005,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0006,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0007,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0008,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0003,GT-0009,TRUE,TRUE,0.22,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0010,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0011,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0004,GT-0012,TRUE,TRUE,0.0,TRUE,TRUE,1945.43
EVAL-2025-04-05-01,,GT-0013,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0014,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0015,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0005,GT-0016,TRUE,TRUE,0.0,TRUE,TRUE,5.3
EVAL-2025-04-05-01,CASE-0006,GT-0017,TRUE,TRUE,0.0,TRUE,TRUE,3.57
EVAL-2025-04-05-01,,GT-0018,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0019,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0020,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0021,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0022,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0023,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0024,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0007,GT-0025,TRUE,TRUE,0.0,TRUE,TRUE,925.12
EVAL-2025-04-05-01,,GT-0026,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0027,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0028,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0029,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0030,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0031,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0032,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0033,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0034,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0008,GT-0035,TRUE,TRUE,0.0,TRUE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0009,GT-0036,TRUE,TRUE,0.0,TRUE,TRUE,294.24
EVAL-2025-04-05-01,,GT-0037,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0038,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0039,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0040,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0010,GT-0041,TRUE,TRUE,0.35,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0042,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0043,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0044,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0045,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0046,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0047,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0011,GT-0048,TRUE,TRUE,0.0,TRUE,TRUE,9.94
EVAL-2025-04-05-01,,GT-0049,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0012,GT-0050,TRUE,TRUE,0.0,TRUE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0013,GT-0051,TRUE,TRUE,0.82,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0052,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0053,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0014,GT-0054,TRUE,TRUE,0.0,TRUE,TRUE,5.34
EVAL-2025-04-05-01,,GT-0055,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0015,GT-0056,TRUE,TRUE,0.0,TRUE,TRUE,17.8
EVAL-2025-04-05-01,,GT-0057,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0058,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0059,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0060,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0061,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0062,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0063,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0064,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0016,GT-0065,TRUE,TRUE,2.12,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0066,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0067,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0068,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0069,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0070,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0017,GT-0071,TRUE,TRUE,0.0,TRUE,TRUE,58.05
EVAL-2025-04-05-01,,GT-0072,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0073,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0018,GT-0074,TRUE,TRUE,0.4,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0075,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0019,GT-0076,TRUE,TRUE,0.0,TRUE,TRUE,22.08
EVAL-2025-04-05-01,CASE-0020,GT-0077,TRUE,TRUE,0.0,TRUE,TRUE,114.35
EVAL-2025-04-05-01,,GT-0078,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0079,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0021,GT-0080,TRUE,TRUE,0.0,TRUE,TRUE,81.83
EVAL-2025-04-05-01,,GT-0081,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0022,GT-0082,TRUE,TRUE,1.14,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0083,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0084,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0085,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0086,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0087,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0088,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0089,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0090,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,CASE-0023,GT-0091,TRUE,TRUE,0.47,TRUE,TRUE,0.0
EVAL-2025-04-05-01,,GT-0092,FALSE,FALSE,,FALSE,FALSE,0.0
EVAL-2025-04-05-01,,GT-0093,FALSE,FALSE,,FALSE,FALSE,0.0
